x, y, fib1, delta
(10, 3, 2, 2874)
(14, 10, 3, 8622)
(6, 6, 5, 43110)
(0, 3, 8, 344880)
(0, 7, 13, 4483440)
(0, 3, 21, 94152240)
(13, 5, 34, 206443101)
(0, 15, 55, 373682672)
(15, 4, 89, 315694159)
(3, 4, 144, 538963011)
(14, 7, 233, 797837438)
(1, 6, 377, 313163873)
(3, 6, 610, 365291107)
(8, 4, 987, 176111176)
(15, 0, 1597, 742884879)
(6, 14, 2584, 988880870)
(1, 3, 4181, 781051697)
(0, 3, 6765, 107369776)
(7, 12, 10946, 335964615)
(1, 4, 17711, 732952385)
(0, 0, 28657, 157065472)
(1, 8, 46368, 619250561)
(5, 12, 75025, 981150405)
(3, 10, 121393, 264380323)
(2, 13, 196418, 383039954)
(10, 15, 317811, 408461050)
(7, 13, 514229, 924721367)
(2, 13, 832040, 345169106)
(7, 14, 1346269, 733133543)
(11, 4, 2178309, 78989387)
(9, 12, 3524578, 893312457)
(4, 2, 5702887, 800220452)
(4, 12, 9227465, 719928004)
(14, 7, 14930352, 762977662)
(11, 6, 24157817, 510785131)
(2, 2, 39088169, 813307682)
(4, 11, 63245986, 849230516)
(10, 14, 102334155, 599834090)
(7, 2, 165580141, 807964967)
(2, 9, 267914296, 478725522)
(3, 7, 433494437, 795046771)
(0, 2, 701408733, 570537760)
(2, 0, 136658817, 149313794)
(8, 4, 838067550, 866169928)
(15, 14, 974726367, 326489839)
(15, 6, 814549564, 709205615)
(0, 2, 791031578, 35859488)
(15, 9, 607336789, 403955615)
(0, 9, 400124014, 562235280)
(2, 1, 9216450, 780015122)
(11, 6, 409340464, 454837355)
(11, 10, 418556914, 364127403)
(0, 1, 827897378, 583429904)
(4, 2, 248209939, 709414692)
(10, 12, 77862964, 83434954)
(9, 2, 326072903, 582986537)
(12, 4, 403935867, 254805324)
(9, 10, 730008770, 619465641)
(11, 3, 135700284, 576766779)
(14, 13, 865709054, 366792926)
(7, 11, 3164985, 812240055)
(9, 4, 868874039, 634058057)
(10, 6, 872039024, 709778026)
(8, 0, 742668710, 664713224)
(0, 2, 616463381, 581000224)
(4, 7, 360887738, 823822452)
(4, 3, 977351119, 838015796)
(8, 7, 339994504, 944451192)
(2, 8, 319101270, 505716098)
(8, 12, 659095774, 300656584)
(12, 9, 978197044, 38330012)
(5, 8, 639048465, 73322885)
(14, 11, 619001156, 181627838)
(12, 8, 259805268, 71397004)
(0, 12, 878806424, 76892608)
(15, 1, 140367339, 167933983)
(2, 1, 20929410, 710888210)
(6, 13, 161296749, 656585430)
(14, 8, 182226159, 368385166)
(11, 9, 343522908, 156714651)
(9, 5, 525749067, 241675353)
(14, 7, 869271975, 234181758)
(14, 13, 396776689, 433427422)
(15, 7, 267804311, 19626367)
(14, 6, 664581000, 329840750)
(5, 9, 932385311, 205186453)
(0, 4, 598721958, 811708992)
(11, 10, 532862916, 279755947)
(10, 12, 133340521, 460984010)
(11, 9, 666203437, 355635355)
(6, 6, 799543958, 696858726)
(15, 0, 467503042, 131381519)
(6, 8, 268802647, 21829510)
(2, 12, 736305689, 881027010)
(8, 1, 6863983, 111150360)
(10, 0, 743169672, 361160458)
(10, 14, 750033655, 807967466)
(8, 6, 494958974, 911472232)
(12, 15, 246748276, 694548988)
(5, 8, 741707250, 620736645)
(4, 11, 988455526, 797159348)
(0, 5, 731918423, 509344336)
(0, 13, 722129596, 403387344)
(0, 2, 455803666, 727356704)
(13, 14, 179688909, 586104301)
(5, 7, 635492575, 466193781)
(10, 10, 815181484, 644712362)
(12, 4, 452429706, 489761100)
(0, 13, 269366837, 170591440)
(12, 10, 721796543, 727449516)
(2, 15, 991163380, 286699762)
(8, 9, 714715570, 8663448)
(15, 5, 707634597, 553990495)
(13, 0, 424105814, 588394765)
(3, 7, 133496058, 440404339)
(0, 15, 557601872, 845610480)
(0, 6, 691097930, 271150432)
(4, 1, 250455449, 806563348)
(8, 8, 941553379, 306762888)
(8, 7, 193764475, 693398136)
(1, 3, 137073501, 684244273)
(14, 11, 330837976, 164584382)
(11, 5, 467911477, 53514075)
(5, 14, 798749453, 85346533)
(11, 11, 268416577, 87565499)
(0, 15, 68921677, 285163248)
(8, 12, 337338254, 260148424)
(11, 11, 406259931, 727854523)
(3, 10, 743598185, 527280803)
(0, 0, 151613763, 276472064)
(1, 8, 895211948, 748025473)
(9, 12, 48581358, 879098569)
(10, 11, 943793306, 672913082)
(8, 1, 992374664, 849429016)
(10, 2, 937923617, 202725418)
(8, 8, 932053928, 873340296)
(5, 12, 871733192, 363137733)
(7, 14, 805542767, 552373479)
(15, 5, 679031606, 104950879)
(10, 3, 486330020, 244690490)
(5, 13, 167117273, 609868245)
(10, 1, 653447293, 32168218)
(1, 10, 820564566, 578340769)
(11, 9, 475767506, 246724251)
(13, 5, 298087719, 172259421)
(10, 7, 773855225, 110349178)
(5, 0, 73698591, 983795205)
(1, 2, 847553816, 251680289)
(1, 14, 921252407, 152424161)
(1, 13, 770561870, 875408081)
(5, 10, 693569924, 802400165)
(13, 3, 465887441, 92146493)
(8, 12, 161213012, 61693896)
(0, 1, 627100453, 531828752)
(9, 11, 788313465, 875917497)
(0, 7, 417169565, 629549936)
(8, 12, 207238677, 851503816)
(9, 14, 624408242, 432424937)
(8, 13, 831646919, 292330200)
(13, 13, 457810808, 916089053)
(8, 9, 291213374, 654498200)
(12, 11, 749024182, 152202684)
(5, 13, 41993203, 120761045)
(6, 6, 791017385, 551232614)
(0, 8, 833010588, 299486080)
(11, 8, 625783620, 880005771)
(12, 3, 460549855, 723128892)
(12, 0, 88089122, 219460364)
(15, 11, 548638977, 187828671)
(12, 6, 636728099, 894486892)
(7, 5, 187122723, 864140375)
(1, 9, 823850822, 537215377)
(0, 12, 12729192, 465077952)
(1, 10, 836580014, 163698081)
(2, 10, 849309206, 589651874)
(14, 5, 687644867, 545208158)
